method,param,param_value,iteration,time,cuts,objectif
MCTS50,L,5,4,0.1060877,0,45.0
MCTS100,L,5,4,0.1676706,0,44.0
MCTS200,L,5,4,0.3474793,0,44.0
MCTS500,L,5,4,0.904678001,0,45.0
PL1,L,5,5,0.1151401,0,34.0
PL2,L,5,5,0.5963823,51,34.0
PL3,L,5,5,0.013105599,7,Inf
MCTS10,L,5,5,0.0202469,0,29.0
MCTS20,L,5,5,0.0377822,0,28.0
MCTS50,L,5,5,0.1981789,0,30.0
MCTS100,L,5,5,0.178956099,0,31.0
MCTS200,L,5,5,0.290739,0,29.0
MCTS500,L,5,5,0.7855143,0,31.0
PL1,L,6,1,0.350753801,0,43.0
PL2,L,6,1,4.9418191,95,43.0
PL3,L,6,1,0.0183089,8,Inf
MCTS10,L,6,1,0.0242629,0,38.0
MCTS20,L,6,1,0.050135799,0,37.0
MCTS50,L,6,1,0.125717,0,41.0
MCTS100,L,6,1,0.204974401,0,37.0
MCTS200,L,6,1,0.4024229,0,37.0
MCTS500,L,6,1,1.363760701,0,37.0
PL1,L,6,2,0.5455112,0,42.0
PL2,L,6,2,15.2548266,83,43.0
PL3,L,6,2,0.0179084,8,Inf
MCTS10,L,6,2,0.022831601,0,30.0
MCTS20,L,6,2,0.135829799,0,31.0
MCTS50,L,6,2,0.1013414,0,31.0
MCTS100,L,6,2,0.6063085,0,30.0
MCTS200,L,6,2,0.4307829,0,31.0
MCTS500,L,6,2,0.9880284,0,31.0
PL1,L,6,3,0.136298,0,44.0
PL2,L,6,3,3.105578899,72,44.0
PL3,L,6,3,0.015277299,8,Inf
MCTS10,L,6,3,0.0227309,0,32.0
MCTS20,L,6,3,0.0436183,0,33.0
MCTS50,L,6,3,0.114390201,0,33.0
MCTS100,L,6,3,0.6121407,0,35.0
MCTS200,L,6,3,0.433860599,0,32.0
MCTS500,L,6,3,1.236824799,0,34.0
PL1,L,6,4,0.251099,0,45.0
PL2,L,6,4,15.3966883,93,45.0
PL3,L,6,4,0.017878001,8,Inf
MCTS10,L,6,4,0.021950999,0,40.0
MCTS20,L,6,4,0.0579668,0,37.0
MCTS50,L,6,4,0.1113279,0,37.0
MCTS100,L,6,4,0.2268009,0,37.0
MCTS200,L,6,4,0.486349101,0,34.0
MCTS500,L,6,4,1.0410063,0,32.0
PL1,L,6,5,0.265241499,0,43.0
PL2,L,6,5,15.039739,76,43.0
PL3,L,6,5,0.0179959,8,Inf
MCTS10,L,6,5,0.0192057,0,35.0
MCTS20,L,6,5,0.0462935,0,35.0
MCTS50,L,6,5,0.1077804,0,35.0
MCTS100,L,6,5,0.6016185,0,35.0
MCTS200,L,6,5,1.1998528,0,35.0
MCTS500,L,6,5,2.5318709,0,35.0
PL1,L,7,1,0.502094,0,38.0
PL2,L,7,1,2.1047968,60,38.0
PL3,L,7,1,0.019511501,9,Inf
MCTS10,L,7,1,0.031014901,0,29.0
MCTS20,L,7,1,0.056179599,0,28.0
MCTS50,L,7,1,0.1221652,0,27.0
MCTS100,L,7,1,0.2873898,0,28.0
MCTS200,L,7,1,1.6125172,0,27.0
MCTS500,L,7,1,1.210109,0,31.0
PL1,L,7,2,0.3337421,0,38.0
PL2,L,7,2,0.401542601,56,38.0
PL3,L,7,2,0.0227401,9,Inf
MCTS10,L,7,2,0.0361884,0,34.0
MCTS20,L,7,2,0.2456217,0,31.0
MCTS50,L,7,2,0.156335999,0,34.0
MCTS100,L,7,2,0.2662836,0,34.0
MCTS200,L,7,2,0.4145857,0,34.0
MCTS500,L,7,2,0.9754622,0,34.0
PL1,L,7,3,0.591971501,0,39.0
PL2,L,7,3,9.9671189,73,39.0
PL3,L,7,3,0.0173032,9,Inf
MCTS10,L,7,3,0.087714,0,31.0
MCTS20,L,7,3,0.0454731,0,33.0
MCTS50,L,7,3,0.1043401,0,31.0
MCTS100,L,7,3,0.1962487,0,31.0
MCTS200,L,7,3,0.3976296,0,31.0
MCTS500,L,7,3,0.9822467,0,31.0
PL1,L,7,4,0.468184,0,37.0
PL2,L,7,4,6.2828111,83,37.0
PL3,L,7,4,0.0200049,9,Inf
MCTS10,L,7,4,0.043005399,0,35.0
MCTS20,L,7,4,0.2884366,0,31.0
MCTS50,L,7,4,0.6867895,0,32.0
MCTS100,L,7,4,0.4142842,0,31.0
MCTS200,L,7,4,0.6756087,0,32.0
MCTS500,L,7,4,5.5348824,0,31.0
PL1,L,7,5,0.6429809,0,40.0
PL2,L,7,5,15.147273599,92,40.0
PL3,L,7,5,0.0195072,9,Inf
MCTS10,L,7,5,0.033090099,0,32.0
MCTS20,L,7,5,0.0530681,0,31.0
MCTS50,L,7,5,0.1248711,0,30.0
MCTS100,L,7,5,0.2403516,0,31.0
MCTS200,L,7,5,0.5032628,0,32.0
MCTS500,L,7,5,1.150494701,0,31.0
PL1,L,8,1,1.931953899,0,33.0
PL2,L,8,1,10.8822245,103,33.0
PL3,L,8,1,0.017961999,10,Inf
MCTS10,L,8,1,0.035372999,0,28.0
MCTS20,L,8,1,0.0590436,0,24.0
MCTS50,L,8,1,0.1366733,0,25.0
MCTS100,L,8,1,0.245417299,0,24.0
MCTS200,L,8,1,0.4894152,0,24.0
MCTS500,L,8,1,4.5046348,0,28.0
PL1,L,8,2,3.540913499,0,37.0
PL2,L,8,2,5.011318,84,37.0
PL3,L,8,2,0.021681201,10,Inf
MCTS10,L,8,2,0.037886,0,34.0
MCTS20,L,8,2,0.0578102,0,34.0
MCTS50,L,8,2,0.1393424,0,34.0
MCTS100,L,8,2,0.270404501,0,34.0
MCTS200,L,8,2,0.5180804,0,34.0
MCTS500,L,8,2,1.143421699,0,34.0
PL1,L,8,3,0.8574928,0,33.0
PL2,L,8,3,6.193198801,67,33.0
PL3,L,8,3,0.0220211,10,Inf
MCTS10,L,8,3,0.0585443,0,25.0
MCTS20,L,8,3,0.097196101,0,24.0
MCTS50,L,8,3,0.2239601,0,25.0
MCTS100,L,8,3,1.852396999,0,26.0
MCTS200,L,8,3,0.747998999,0,26.0
MCTS500,L,8,3,1.4653707,0,26.0
PL1,L,8,4,1.3178264,0,38.0
PL2,L,8,4,15.0100537,90,39.0
PL3,L,8,4,0.0252708,10,Inf
MCTS10,L,8,4,0.1473147,0,31.0
MCTS20,L,8,4,0.063403799,0,27.0
MCTS50,L,8,4,0.1460577,0,32.0
MCTS100,L,8,4,0.2999655,0,31.0
MCTS200,L,8,4,0.5416778,0,30.0
MCTS500,L,8,4,1.4281697,0,30.0
PL1,L,8,5,0.4839952,0,34.00000000000001
PL2,L,8,5,3.0996245,81,34.0
PL3,L,8,5,0.018049101,10,Inf
MCTS10,L,8,5,0.0285877,0,30.0
MCTS20,L,8,5,0.0603144,0,29.0
MCTS50,L,8,5,0.1273924,0,29.0
MCTS100,L,8,5,0.2779084,0,31.0
MCTS200,L,8,5,0.4906109,0,30.0
MCTS500,L,8,5,1.6787059,0,31.0
PL1,L,9,1,2.8054427,0,38.0
PL2,L,9,1,15.184951,89,41.0
PL3,L,9,1,0.0349053,11,Inf
MCTS10,L,9,1,0.3339499,0,31.0
MCTS20,L,9,1,0.099123,0,28.0
MCTS50,L,9,1,1.065508599,0,31.0
MCTS100,L,9,1,0.4200077,0,30.0
MCTS200,L,9,1,0.862326901,0,31.0
MCTS500,L,9,1,2.042113399,0,30.0
PL1,L,9,2,0.178601,0,36.0
PL2,L,9,2,4.2934015,71,36.0
PL3,L,9,2,0.0238412,11,Inf
MCTS10,L,9,2,0.0405402,0,30.0
MCTS20,L,9,2,0.0720583,0,30.0
MCTS50,L,9,2,0.1665414,0,30.0
MCTS100,L,9,2,0.382482,0,31.0
MCTS200,L,9,2,0.658415,0,30.0
MCTS500,L,9,2,1.4392213,0,30.0
PL1,L,9,3,4.5827072,0,40.0
PL2,L,9,3,15.2961565,74,42.0
PL3,L,9,3,0.0237586,11,Inf
MCTS10,L,9,3,0.0427877,0,30.0
MCTS20,L,9,3,0.284331001,0,32.0
MCTS50,L,9,3,0.6127527,0,32.0
MCTS100,L,9,3,1.2310042,0,32.0
MCTS200,L,9,3,2.4000049,0,32.0
MCTS500,L,9,3,7.387806099,0,32.0
PL1,L,9,4,0.4138196,0,38.0
PL2,L,9,4,3.791712099,61,38.0
PL3,L,9,4,0.0240452,11,Inf
MCTS10,L,9,4,0.040259501,0,24.0
MCTS20,L,9,4,0.3107043,0,22.0
MCTS50,L,9,4,0.7188727,0,22.0
MCTS100,L,9,4,0.328839499,0,22.0
MCTS200,L,9,4,0.631845799,0,22.0
MCTS500,L,9,4,1.5814853,0,24.0
PL1,L,9,5,1.6779559,0,38.0
PL2,L,9,5,15.0233117,101,39.0
PL3,L,9,5,0.0241778,11,Inf
MCTS10,L,9,5,0.034235,0,30.0
MCTS20,L,9,5,0.0807087,0,32.0
MCTS50,L,9,5,0.1767452,0,29.0
MCTS100,L,9,5,0.3261765,0,29.0
MCTS200,L,9,5,0.6199597,0,30.0
MCTS500,L,9,5,1.380659999,0,30.0
PL1,L,10,1,8.2719925,0,35.0
PL2,L,10,1,15.4471805,81,37.0
PL3,L,10,1,0.0215207,12,Inf
MCTS10,L,10,1,0.0317625,0,25.0
MCTS20,L,10,1,0.080690501,0,28.0
MCTS50,L,10,1,0.786494901,0,24.0
MCTS100,L,10,1,1.724238,0,28.0
MCTS200,L,10,1,0.699737499,0,28.0
MCTS500,L,10,1,1.5139961,0,25.0
PL1,L,10,2,6.8731438,0,34.0
PL2,L,10,2,15.406147,97,35.0
PL3,L,10,2,0.0230241,12,Inf
MCTS10,L,10,2,0.0439929,0,25.0
MCTS20,L,10,2,0.0751665,0,28.0
MCTS50,L,10,2,0.1570009,0,27.0
MCTS100,L,10,2,1.4571799,0,28.0
MCTS200,L,10,2,0.625439201,0,27.0
MCTS500,L,10,2,7.112970901,0,28.0
PL1,L,10,3,1.223957699,0,39.0
PL2,L,10,3,5.4175624,71,39.0
PL3,L,10,3,0.026034,12,Inf
MCTS10,L,10,3,0.041827601,0,32.0
MCTS20,L,10,3,0.0925581,0,33.0
MCTS50,L,10,3,0.8692506,0,31.0
MCTS100,L,10,3,0.353205,0,31.0
MCTS200,L,10,3,0.718062999,0,33.0
MCTS500,L,10,3,1.5617803,0,33.0
PL1,L,10,4,1.310155299,0,35.0
PL2,L,10,4,15.261921301,99,35.0
PL3,L,10,4,0.026079401,12,Inf
MCTS10,L,10,4,0.0383905,0,25.0
MCTS20,L,10,4,0.075958,0,23.0
MCTS50,L,10,4,0.1767151,0,25.0
MCTS100,L,10,4,1.471332901,0,23.0
MCTS200,L,10,4,0.7303396,0,25.0
MCTS500,L,10,4,1.551088601,0,25.0
PL1,L,10,5,1.1899088,0,35.0
PL2,L,10,5,12.1738894,99,35.0
PL3,L,10,5,0.0214394,12,Inf
MCTS10,L,10,5,0.0425279,0,29.0
MCTS20,L,10,5,0.068014699,0,28.0
MCTS50,L,10,5,0.1627658,0,28.0
MCTS100,L,10,5,0.365608801,0,27.0
MCTS200,L,10,5,0.7744615,0,29.0
MCTS500,L,10,5,1.821920599,0,29.0
PL1,C,3,1,0.0133566,0,32.0
PL2,C,3,1,0.023415901,13,32.0
PL3,C,3,1,0.0179936,7,Inf
MCTS10,C,3,1,0.0078765,0,32.0
MCTS20,C,3,1,0.034991499,0,32.0
MCTS50,C,3,1,0.085805301,0,32.0
MCTS100,C,3,1,0.125116601,0,32.0
MCTS200,C,3,1,0.251897799,0,32.0
MCTS500,C,3,1,0.628451899,0,32.0
PL1,C,3,2,0.007473999,0,24.0
PL2,C,3,2,0.026955499,15,24.0
PL3,C,3,2,0.0124003,7,Inf
MCTS10,C,3,2,0.0088032,0,24.0
MCTS20,C,3,2,0.025008701,0,24.0
MCTS50,C,3,2,0.0443056,0,24.0
MCTS100,C,3,2,0.084235299,0,24.0
MCTS200,C,3,2,0.2469449,0,24.0
MCTS500,C,3,2,0.4034916,0,24.0
PL1,C,3,3,0.0163509,0,37.0
PL2,C,3,3,0.105978499,26,37.0
PL3,C,3,3,0.0159739,7,Inf
MCTS10,C,3,3,0.007821299,0,36.0
MCTS20,C,3,3,0.0183334,0,36.0
MCTS50,C,3,3,0.043559799,0,36.0
MCTS100,C,3,3,0.0799207,0,36.0
MCTS200,C,3,3,0.1494742,0,36.0
MCTS500,C,3,3,0.3934439,0,36.0
PL1,C,3,4,0.0273858,0,42.0
PL2,C,3,4,0.098068399,23,42.0
PL3,C,3,4,0.0153744,7,Inf
MCTS10,C,3,4,0.0168391,0,36.0
MCTS20,C,3,4,0.0208376,0,40.0
MCTS50,C,3,4,0.048471201,0,33.0
MCTS100,C,3,4,0.089057501,0,33.0
MCTS200,C,3,4,0.1586186,0,32.0
MCTS500,C,3,4,0.400849501,0,32.0
PL1,C,3,5,0.0164062,0,39.0
PL2,C,3,5,0.0790151,21,39.0
PL3,C,3,5,0.0142731,7,Inf
MCTS10,C,3,5,0.008085999,0,34.0
MCTS20,C,3,5,0.0193971,0,38.0
MCTS50,C,3,5,0.0479712,0,34.0
MCTS100,C,3,5,0.083295199,0,34.0
MCTS200,C,3,5,0.1722393,0,37.0
MCTS500,C,3,5,0.3954636,0,34.0
PL1,C,4,1,0.021801,0,35.0
PL2,C,4,1,0.081261099,20,35.0
PL3,C,4,1,0.0147441,7,Inf
MCTS10,C,4,1,0.0152026,0,33.0
MCTS20,C,4,1,0.0281761,0,30.0
MCTS50,C,4,1,0.0611651,0,33.0
MCTS100,C,4,1,0.1067912,0,30.0
MCTS200,C,4,1,0.3312837,0,30.0
MCTS500,C,4,1,0.8382701,0,30.0
PL1,C,4,2,0.103922,0,41.0
PL2,C,4,2,1.1816733,54,41.0
PL3,C,4,2,0.0136063,7,Inf
MCTS10,C,4,2,0.0163735,0,29.0
MCTS20,C,4,2,0.0274827,0,34.0
MCTS50,C,4,2,0.072997899,0,32.0
MCTS100,C,4,2,0.117993,0,33.0
MCTS200,C,4,2,0.2334981,0,33.0
MCTS500,C,4,2,0.552131401,0,33.0
PL1,C,4,3,0.017968201,0,33.0
PL2,C,4,3,0.0443656,18,33.0
PL3,C,4,3,0.0148666,7,Inf
MCTS10,C,4,3,0.010461701,0,33.0
MCTS20,C,4,3,0.0252193,0,33.0
MCTS50,C,4,3,0.064843,0,33.0
MCTS100,C,4,3,0.1088111,0,33.0
MCTS200,C,4,3,0.2081767,0,33.0
MCTS500,C,4,3,0.5352414,0,33.0
PL1,C,4,4,0.0438929,0,49.0
PL2,C,4,4,0.304246001,30,49.0
PL3,C,4,4,0.0145403,7,Inf
MCTS10,C,4,4,0.0107816,0,47.0
MCTS20,C,4,4,0.0265809,0,43.0
MCTS50,C,4,4,0.125453201,0,44.0
MCTS100,C,4,4,0.1114363,0,47.0
MCTS200,C,4,4,0.2289611,0,47.0
MCTS500,C,4,4,0.6254559,0,45.0
PL1,C,4,5,0.0353161,0,41.0
PL2,C,4,5,0.2266276,29,41.0
PL3,C,4,5,0.0156707,7,Inf
MCTS10,C,4,5,0.019597599,0,32.0
MCTS20,C,4,5,0.0417972,0,39.0
MCTS50,C,4,5,0.1042337,0,39.0
MCTS100,C,4,5,0.1821399,0,39.0
MCTS200,C,4,5,0.3384337,0,39.0
MCTS500,C,4,5,0.8310299,0,39.0
PL1,C,5,1,0.0691728,0,46.0
PL2,C,5,1,1.3885703,51,46.0
PL3,C,5,1,0.013874901,7,Inf
MCTS10,C,5,1,0.0168633,0,39.0
MCTS20,C,5,1,0.034500401,0,38.0
MCTS50,C,5,1,0.089395299,0,39.0
MCTS100,C,5,1,0.1688761,0,40.0
MCTS200,C,5,1,0.721940399,0,38.0
MCTS500,C,5,1,1.139721,0,41.0
PL1,C,5,2,0.064522699,0,48.0
PL2,C,5,2,2.8624388,60,48.0
PL3,C,5,2,0.017308,7,Inf
MCTS10,C,5,2,0.0235126,0,40.0
MCTS20,C,5,2,0.039997799,0,36.0
MCTS50,C,5,2,0.0842781,0,33.0
MCTS100,C,5,2,0.176867401,0,36.0
MCTS200,C,5,2,0.3301,0,33.0
MCTS500,C,5,2,0.817255,0,33.0
PL1,C,5,3,0.2271448,0,47.0
PL2,C,5,3,6.453245599,68,47.0
PL3,C,5,3,0.0142715,7,Inf
MCTS10,C,5,3,0.0136114,0,39.0
MCTS20,C,5,3,0.0368761,0,38.0
MCTS50,C,5,3,0.0795176,0,39.0
MCTS100,C,5,3,0.1689735,0,39.0
MCTS200,C,5,3,0.2838862,0,39.0
MCTS500,C,5,3,0.7439687,0,38.0
PL1,C,5,4,0.220458701,0,41.0
PL2,C,5,4,7.7224542,78,41.0
PL3,C,5,4,0.016352,7,Inf
MCTS10,C,5,4,0.0251669,0,36.0
MCTS20,C,5,4,0.045825801,0,30.0
MCTS50,C,5,4,0.0959679,0,35.0
MCTS100,C,5,4,0.182021401,0,30.0
MCTS200,C,5,4,0.317768799,0,33.0
MCTS500,C,5,4,0.809727,0,37.0
PL1,C,5,5,0.054732,0,49.0
PL2,C,5,5,1.164507701,50,49.0
PL3,C,5,5,0.0137868,7,Inf
MCTS10,C,5,5,0.017453501,0,41.0
MCTS20,C,5,5,0.0340167,0,38.0
MCTS50,C,5,5,0.0821844,0,40.0
MCTS100,C,5,5,0.1421284,0,40.0
MCTS200,C,5,5,0.2725814,0,40.0
MCTS500,C,5,5,0.691282199,0,40.0
PL1,C,6,1,0.7309839,0,53.0
PL2,C,6,1,15.3157487,100,55.0
PL3,C,6,1,0.0176699,7,Inf
MCTS10,C,6,1,0.020775,0,45.0
MCTS20,C,6,1,0.0515239,0,44.0
MCTS50,C,6,1,0.117848,0,41.0
MCTS100,C,6,1,0.2491844,0,50.0
MCTS200,C,6,1,0.4250933,0,46.0
MCTS500,C,6,1,1.4103313,0,46.0
PL1,C,6,2,0.422322101,0,51.0
PL2,C,6,2,15.4400395,101,51.0
PL3,C,6,2,0.018072701,7,Inf
MCTS10,C,6,2,0.0215799,0,44.0
MCTS20,C,6,2,0.050462,0,45.0
MCTS50,C,6,2,0.105405901,0,39.0
MCTS100,C,6,2,0.175233,0,39.0
MCTS200,C,6,2,0.3431639,0,39.0
MCTS500,C,6,2,0.9280357,0,43.0
PL1,C,6,3,0.1295374,0,54.00000000000001
PL2,C,6,3,15.1195912,74,56.0
PL3,C,6,3,0.0213398,7,Inf
MCTS10,C,6,3,0.025222,0,43.0
MCTS20,C,6,3,0.0499026,0,43.0
MCTS50,C,6,3,0.092008201,0,39.0
MCTS100,C,6,3,0.1858543,0,43.0
MCTS200,C,6,3,0.3374814,0,39.0
MCTS500,C,6,3,0.9586084,0,41.0
PL1,C,6,4,0.9609543,0,52.00000000000001
PL2,C,6,4,15.1433625,85,55.0
PL3,C,6,4,0.014270301,7,Inf
MCTS10,C,6,4,0.0238953,0,45.0
MCTS20,C,6,4,0.0429875,0,46.0
MCTS50,C,6,4,0.1069728,0,46.0
MCTS100,C,6,4,0.198448099,0,46.0
MCTS200,C,6,4,0.3907798,0,46.0
MCTS500,C,6,4,0.9839307,0,46.0
PL1,C,6,5,0.1876131,0,56.0
PL2,C,6,5,15.3962255,71,57.0
PL3,C,6,5,0.019007699,7,Inf
MCTS10,C,6,5,0.0787339,0,36.0
MCTS20,C,6,5,0.0459803,0,40.0
MCTS50,C,6,5,0.119326701,0,44.0
MCTS100,C,6,5,0.2162277,0,45.0
MCTS200,C,6,5,0.4372486,0,45.0
MCTS500,C,6,5,1.099626901,0,45.0
PL1,C,7,1,0.2086647,0,51.0
PL2,C,7,1,15.249074299,84,52.0
PL3,C,7,1,0.0145932,7,Inf
MCTS10,C,7,1,0.0241286,0,39.0
MCTS20,C,7,1,0.0560048,0,39.0
MCTS50,C,7,1,0.1083873,0,40.0
MCTS100,C,7,1,0.2176828,0,41.0
MCTS200,C,7,1,0.4265337,0,42.0
MCTS500,C,7,1,0.987121799,0,38.0
PL1,C,7,2,1.0682188,0,50.0
PL2,C,7,2,15.4006183,74,53.0
PL3,C,7,2,0.0163866,7,Inf
MCTS10,C,7,2,0.0422698,0,38.0
MCTS20,C,7,2,0.055802601,0,40.0
MCTS50,C,7,2,0.135804699,0,38.0
MCTS100,C,7,2,0.2800032,0,39.0
MCTS200,C,7,2,0.4584047,0,40.0
MCTS500,C,7,2,1.077367401,0,37.0
PL1,C,7,3,0.494734999,0,53.0
PL2,C,7,3,15.3695449,63,56.0
PL3,C,7,3,0.0164289,7,Inf
MCTS10,C,7,3,0.0282381,0,39.0
MCTS20,C,7,3,0.0541884,0,38.0
MCTS50,C,7,3,0.0983144,0,34.0
MCTS100,C,7,3,0.2450003,0,40.0
MCTS200,C,7,3,1.4618834,0,40.0
MCTS500,C,7,3,1.204608899,0,38.0
PL1,C,7,4,0.5733452,0,58.0
PL2,C,7,4,15.3269175,80,60.0
PL3,C,7,4,0.0180337,7,Inf
MCTS10,C,7,4,0.030290201,0,53.0
MCTS20,C,7,4,0.063143599,0,43.0
MCTS50,C,7,4,0.489879,0,48.0
MCTS100,C,7,4,0.2420333,0,47.0
MCTS200,C,7,4,0.568112,0,45.0
MCTS500,C,7,4,1.2004223,0,45.0
PL1,C,7,5,1.2767124,0,55.0
PL2,C,7,5,15.463286601,67,60.0
PL3,C,7,5,0.018041701,7,Inf
MCTS10,C,7,5,0.0335793,0,40.0
MCTS20,C,7,5,0.0914853,0,48.0
MCTS50,C,7,5,0.2168467,0,46.0
MCTS100,C,7,5,0.2698584,0,36.0
MCTS200,C,7,5,0.497543,0,49.0
MCTS500,C,7,5,1.0315148,0,48.0
PL1,C,8,1,0.634298199,0,56.0
PL2,C,8,1,15.312097201,59,60.0
PL3,C,8,1,0.016671099,7,Inf
MCTS10,C,8,1,0.045945799,0,40.0
MCTS20,C,8,1,0.0689749,0,47.0
MCTS50,C,8,1,0.152669801,0,45.0
MCTS100,C,8,1,0.303223,0,48.0
MCTS200,C,8,1,0.6129027,0,43.0
MCTS500,C,8,1,1.3394275,0,39.0
PL1,C,8,2,0.6910992,0,54.0
PL2,C,8,2,15.2693883,78,55.0
PL3,C,8,2,0.014660399,7,Inf
MCTS10,C,8,2,0.0292986,0,40.0
MCTS20,C,8,2,0.0639369,0,41.0
